name,type,value,date,color
Aleksej Aleksandrov,BLR,2649,2010-11-27,#FFFFFFF
Aleksey Dreev,RUS,2653,2017-11-27,#D52B1E
Aleksey Dreev,RUS,2653,2017-12-27,#D52B1E
Aleksey Dreev,RUS,2653,2018-01-27,#D52B1E
Aleksey Dreev,RUS,2653,2018-02-27,#D52B1E
Aleksey Dreev,RUS,2653,2018-03-27,#D52B1E
Aleksey Dreev,RUS,2653,2018-04-27,#D52B1E
Aleksey Dreev,RUS,2653,2018-05-27,#D52B1E
Aleksey Dreev,RUS,2657,2018-06-27,#D52B1E
Aleksey Dreev,RUS,2657,2018-07-27,#D52B1E
Aleksey Dreev,RUS,2670,2018-11-27,#D52B1E
Aleksey Dreev,RUS,2670,2018-12-27,#D52B1E
Aleksey Dreev,RUS,2670,2019-01-27,#D52B1E
Aleksey Dreev,RUS,2662,2019-02-24,#D52B1E
Aleksey Dreev,RUS,2694,2011-01-27,#D52B1E
Aleksey Dreev,RUS,2697,2011-03-27,#D52B1E
Aleksey Dreev,RUS,2703,2011-05-27,#D52B1E
Aleksey Dreev,RUS,2711,2011-07-27,#D52B1E
Aleksey Dreev,RUS,2711,2011-09-27,#D52B1E
Aleksey Dreev,RUS,2710,2011-11-27,#D52B1E
Aleksey Dreev,RUS,2698,2012-01-27,#D52B1E
Aleksey Dreev,RUS,2698,2012-03-27,#D52B1E
Aleksey Dreev,RUS,2694,2012-05-27,#D52B1E
Aleksey Dreev,RUS,2677,2012-07-27,#D52B1E
Aleksey Dreev,RUS,2677,2012-08-27,#D52B1E
Aleksey Dreev,RUS,2677,2012-09-27,#D52B1E
Aleksey Dreev,RUS,2677,2012-10-27,#D52B1E
Aleksey Dreev,RUS,2654,2012-11-27,#D52B1E
Aleksey Dreev,RUS,2654,2012-12-27,#D52B1E
Aleksey Dreev,RUS,2654,2013-01-27,#D52B1E
Aleksey Dreev,RUS,2654,2013-02-27,#D52B1E
Aleksey Dreev,RUS,2654,2013-03-27,#D52B1E
Aleksey Dreev,RUS,2654,2013-04-27,#D52B1E
Aleksey Dreev,RUS,2654,2013-05-27,#D52B1E
Aleksey Dreev,RUS,2668,2013-06-27,#D52B1E
Aleksey Dreev,RUS,2668,2013-07-27,#D52B1E
Aleksey Dreev,RUS,2668,2013-08-27,#D52B1E
Aleksey Dreev,RUS,2668,2013-09-27,#D52B1E
Aleksey Dreev,RUS,2679,2013-10-27,#D52B1E
Aleksey Dreev,RUS,2673,2013-11-27,#D52B1E
Aleksey Dreev,RUS,2673,2013-12-27,#D52B1E
Aleksey Dreev,RUS,2673,2014-01-27,#D52B1E
Aleksey Dreev,RUS,2673,2014-02-27,#D52B1E
Aleksey Dreev,RUS,2679,2014-03-27,#D52B1E
Aleksey Dreev,RUS,2670,2014-04-27,#D52B1E
Aleksey Dreev,RUS,2667,2014-05-27,#D52B1E
Aleksey Dreev,RUS,2667,2014-06-27,#D52B1E
Aleksey Dreev,RUS,2662,2014-07-27,#D52B1E
