name,type,value,date,color
Bitcoin,$238.53 BTC,3499387367,2015-10-04,#f2a900
Bitcoin,$236.54 BTC,3317129018,2015-04-12,#f2a900
Bitcoin,$236.01 BTC,3356176986,2015-05-17,#f2a900
Bitcoin,$235.24 BTC,3367774557,2015-09-13,#f2a900
Bitcoin,$234.88 BTC,3394161416,2015-05-03,#f2a900
Bitcoin,$234.87 BTC,3497748612,2015-09-06,#f2a900
Bitcoin,$234.14 BTC,3412467834,2015-09-27,#f2a900
Bitcoin,$233.13 BTC,3273756425,2015-05-31,#f2a900
Bitcoin,$232.44 BTC,3333657006,2015-06-14,#f2a900
Veritaseum,$232.05 VERI,397359692,2017-07-23,#f59d00
Zcash,$231.63 ZEC,587365945,2017-10-29,#f2ca07
Bitcoin,$231.4 BTC,3383764499,2015-09-20,#f2a900
Ethereum,$231.33 ETH,23817805502,2018-09-30,#3c3c3d
Litecoin,$230.51 LTC,11925650529,2018-02-18,#7d7d7d
Bitcoin,$230.38 BTC,3315466697,2015-08-23,#f2a900
Zcash,$230.32 ZEC,576194706,2017-11-05,#f2ca07
Bitcoin,$229.9 BTC,3330085315,2015-08-30,#f2a900
Ethereum,$229.12 ETH,21127295409,2017-07-23,#3c3c3d
Bitcoin,$227.69 BTC,3086537315,2015-02-08,#f2a900
Bitcoin,$226.41 BTC,3093216938,2015-04-26,#f2a900
Bitcoin,$225.6 BTC,3175547196,2015-06-07,#f2a900
Ethereum,$225.44 ETH,23161767973,2018-10-07,#3c3c3d
Dash,$224.57 DASH,1898637613,2018-07-15,#008de4
Ethereum,$224.12 ETH,22622207553,2017-06-04,#3c3c3d
Bitcoin,$223.46 BTC,3132226860,2015-04-19,#f2a900
Ethereum,$222.8 ETH,22500748646,2018-09-16,#3c3c3d
Dash,$220.88 DASH,1762071640,2018-09-02,#008de4
Zcash,$217.3 ZEC,386960629,2017-07-23,#f2ca07
Litecoin,$216.98 LTC,12663194467,2017-12-31,#7d7d7d
Bitcoin,$216.87 BTC,3129637468,2015-02-01,#f2a900
Ethereum,$212.48 ETH,21798464881,2018-11-11,#3c3c3d
Bitcoin Cash,$212.18 BCH,3637254889,2017-08-06,#ee8c28
Litecoin,$211.24 LTC,10446773723,2018-01-21,#7d7d7d
Litecoin,$210.24 LTC,11862048436,2018-03-04,#7d7d7d
Dash,$209.64 DASH,1450959336,2017-07-09,#008de4
Litecoin,$208.13 LTC,12209956904,2018-02-25,#7d7d7d
Monero,$207.32 XMR,3359772593,2018-03-25,#f56f00
Ethereum,$206.74 ETH,18545669554,2017-07-30,#3c3c3d
Bitcoin,$205.99 BTC,2568713111,2013-11-03,#f2a900
Dash,$205.59 DASH,1484314689,2017-08-13,#008de4
Ethereum,$205.39 ETH,21071630786,2018-10-21,#3c3c3d
Dash,$204.88 DASH,1708248903,2018-09-23,#008de4
Ethereum,$204.51 ETH,21123907349,2018-10-28,#3c3c3d
Zcash,$204.02 ZEC,463916988,2017-09-24,#f2ca07
Monero,$203.37 XMR,3087399521,2017-12-03,#f56f00
Dash,$202.32 DASH,1706106350,2018-08-05,#008de4
Monero,$202.05 XMR,3359116954,2018-05-13,#f56f00
Ethereum,$200.16 ETH,21371416840,2018-11-04,#3c3c3d
Bitcoin,$200.05 BTC,2889858038,2015-01-18,#f2a900
Ethereum,$199.69 ETH,20075397007,2018-10-14,#3c3c3d
Ethereum,$198.38 ETH,20058708800,2018-09-09,#3c3c3d
Monero,$197.79 XMR,3265583092,2018-05-20,#f56f00
Monero,$197.43 XMR,3320407979,2018-03-18,#f56f00
Dash,$195.02 DASH,1422094546,2017-07-23,#008de4
